2023-05-24-19-13: epoch: 1 |tot 8.983339 | hm 1.076719 | wh 1.564398 | reg 0.220393 | dep 1.763915 | dep_sec 2.201902 | dim 0.244900 | rot 0.943320 | rot_sec 1.018307 | amodel_offset 0.806692 | nuscenes_att 0.235921 | velocity 0.314831 | time 103.366667 | tot 7.970053 | hm 1.090134 | wh 1.806258 | reg 0.226125 | dep 1.495320 | dep_sec 1.517174 | dim 0.202039 | rot 0.982228 | rot_sec 0.965006 | amodel_offset 0.896122 | nuscenes_att 0.195881 | velocity 0.219399 | time 2.050000 | 
2023-05-24-20-59: epoch: 2 |tot 8.510584 | hm 1.083917 | wh 1.583002 | reg 0.220601 | dep 1.771264 | dep_sec 1.916335 | dim 0.246368 | rot 0.890933 | rot_sec 0.892375 | amodel_offset 0.816457 | nuscenes_att 0.215563 | velocity 0.298472 | time 103.416667 | tot 7.888264 | hm 1.101825 | wh 1.918434 | reg 0.226694 | dep 1.482305 | dep_sec 1.528376 | dim 0.196320 | rot 0.954388 | rot_sec 0.937479 | amodel_offset 0.860122 | nuscenes_att 0.194716 | velocity 0.214196 | time 1.983333 | 
2023-05-24-22-45: epoch: 3 |tot 8.379778 | hm 1.087215 | wh 1.583802 | reg 0.220637 | dep 1.762607 | dep_sec 1.858412 | dim 0.246839 | rot 0.863453 | rot_sec 0.855481 | amodel_offset 0.820649 | nuscenes_att 0.211495 | velocity 0.294609 | time 103.366667 | tot 7.854586 | hm 1.102787 | wh 1.800397 | reg 0.226153 | dep 1.469205 | dep_sec 1.470410 | dim 0.191041 | rot 0.960285 | rot_sec 0.958197 | amodel_offset 0.893422 | nuscenes_att 0.186618 | velocity 0.216428 | time 1.950000 | 
2023-05-25-00-31: epoch: 4 |tot 8.269298 | hm 1.089087 | wh 1.589402 | reg 0.220730 | dep 1.753602 | dep_sec 1.807868 | dim 0.247526 | rot 0.842380 | rot_sec 0.830431 | amodel_offset 0.818763 | nuscenes_att 0.208741 | velocity 0.291229 | time 103.583333 | tot 7.835880 | hm 1.119165 | wh 1.845335 | reg 0.225377 | dep 1.512945 | dep_sec 1.497447 | dim 0.203833 | rot 0.928239 | rot_sec 0.895860 | amodel_offset 0.862673 | nuscenes_att 0.182066 | velocity 0.223741 | time 1.966667 | 
2023-05-25-02-16: epoch: 5 |tot 8.193191 | hm 1.091633 | wh 1.594043 | reg 0.220992 | dep 1.751862 | dep_sec 1.770173 | dim 0.247491 | rot 0.824972 | rot_sec 0.809321 | amodel_offset 0.825135 | nuscenes_att 0.206322 | velocity 0.285885 | time 103.050000 | tot 8.039177 | hm 1.121250 | wh 1.880310 | reg 0.228483 | dep 1.546352 | dep_sec 1.577835 | dim 0.207949 | rot 0.929689 | rot_sec 0.900166 | amodel_offset 0.921477 | nuscenes_att 0.205321 | velocity 0.212624 | time 1.950000 | 
2023-05-25-04-02: epoch: 6 |tot 8.079140 | hm 1.089799 | wh 1.593689 | reg 0.220811 | dep 1.737600 | dep_sec 1.721819 | dim 0.247298 | rot 0.805874 | rot_sec 0.787112 | amodel_offset 0.824983 | nuscenes_att 0.202681 | velocity 0.281794 | time 103.050000 | tot 7.960537 | hm 1.139601 | wh 1.851371 | reg 0.229665 | dep 1.545829 | dep_sec 1.560560 | dim 0.201602 | rot 0.926076 | rot_sec 0.878167 | amodel_offset 0.882553 | nuscenes_att 0.204516 | velocity 0.206831 | time 1.966667 | 
2023-05-25-05-47: epoch: 7 |tot 8.002403 | hm 1.089226 | wh 1.588748 | reg 0.220824 | dep 1.719077 | dep_sec 1.702868 | dim 0.247109 | rot 0.793079 | rot_sec 0.773250 | amodel_offset 0.819129 | nuscenes_att 0.199944 | velocity 0.279023 | time 103.150000 | tot 7.816712 | hm 1.106106 | wh 1.837818 | reg 0.226794 | dep 1.482936 | dep_sec 1.504855 | dim 0.207111 | rot 0.920769 | rot_sec 0.890349 | amodel_offset 0.875634 | nuscenes_att 0.210894 | velocity 0.207482 | time 1.966667 | 
2023-05-25-07-32: epoch: 8 |tot 7.961137 | hm 1.087920 | wh 1.589266 | reg 0.220644 | dep 1.723179 | dep_sec 1.693265 | dim 0.246719 | rot 0.779950 | rot_sec 0.757924 | amodel_offset 0.817992 | nuscenes_att 0.197714 | velocity 0.276903 | time 102.733333 | tot 7.912388 | hm 1.120433 | wh 1.837808 | reg 0.227893 | dep 1.522801 | dep_sec 1.516958 | dim 0.206185 | rot 0.907215 | rot_sec 0.883327 | amodel_offset 0.935333 | nuscenes_att 0.202333 | velocity 0.206127 | time 1.983333 | 
2023-05-25-09-18: epoch: 9 |tot 7.878319 | hm 1.085967 | wh 1.583101 | reg 0.220627 | dep 1.703895 | dep_sec 1.667440 | dim 0.245558 | rot 0.765525 | rot_sec 0.742776 | amodel_offset 0.818416 | nuscenes_att 0.195662 | velocity 0.274145 | time 102.466667 | tot 7.734521 | hm 1.100141 | wh 1.827087 | reg 0.228005 | dep 1.461141 | dep_sec 1.494876 | dim 0.195184 | rot 0.917082 | rot_sec 0.896875 | amodel_offset 0.851964 | nuscenes_att 0.199264 | velocity 0.207280 | time 1.983333 | 
2023-05-25-11-03: epoch: 10 |tot 7.878049 | hm 1.087416 | wh 1.586436 | reg 0.220634 | dep 1.713413 | dep_sec 1.668743 | dim 0.246172 | rot 0.757813 | rot_sec 0.734453 | amodel_offset 0.823303 | nuscenes_att 0.194820 | velocity 0.272638 | time 102.800000 | tot 7.812056 | hm 1.124900 | wh 1.796725 | reg 0.228037 | dep 1.491167 | dep_sec 1.487814 | dim 0.203862 | rot 0.919558 | rot_sec 0.887973 | amodel_offset 0.882766 | nuscenes_att 0.194940 | velocity 0.211367 | time 1.983333 | 
2023-05-25-12-48: epoch: 11 |tot 7.786133 | hm 1.083764 | wh 1.579738 | reg 0.220594 | dep 1.693356 | dep_sec 1.645124 | dim 0.245492 | rot 0.743890 | rot_sec 0.720123 | amodel_offset 0.814150 | nuscenes_att 0.191657 | velocity 0.270008 | time 102.900000 | tot 7.847634 | hm 1.111601 | wh 1.847263 | reg 0.226517 | dep 1.547428 | dep_sec 1.541178 | dim 0.200984 | rot 0.891117 | rot_sec 0.868073 | amodel_offset 0.886432 | nuscenes_att 0.186962 | velocity 0.202618 | time 1.950000 | 
2023-05-25-14-33: epoch: 12 |tot 7.724137 | hm 1.082267 | wh 1.576550 | reg 0.220393 | dep 1.678317 | dep_sec 1.623712 | dim 0.244480 | rot 0.733674 | rot_sec 0.709255 | amodel_offset 0.815295 | nuscenes_att 0.189982 | velocity 0.269107 | time 102.783333 | tot 7.711475 | hm 1.109621 | wh 1.776130 | reg 0.227388 | dep 1.477483 | dep_sec 1.493947 | dim 0.198503 | rot 0.884887 | rot_sec 0.858106 | amodel_offset 0.886504 | nuscenes_att 0.192562 | velocity 0.204861 | time 1.966667 | 
